rownames,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92
PDER,,,,,,FLP-12 DMSR-1,,,,FLP-25 DMSR-1,,FLP-33 DMSR-1,,,,,,,,,,,,,,,,,FLP-12 DMSR-8,,,,,FLP-6 EGL-6,,,,,,,,FLP-33 FRPR-6,FLP-1 FRPR-7,,,FLP-12 FRPR-8,,,,,FLP-25 FRPR-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FLP-8 NTR-1,NTC-1 NTR-1,,,,,,,
PHAL,,,,FLP-10 DMSR-1,,,,FLP-16 DMSR-1,,FLP-25 DMSR-1,,,FLP-4 DMSR-1,FLP-9 DMSR-1,,,,,,,,FLP-16 DMSR-7,,,FLP-4 DMSR-7,FLP-5 DMSR-7,FLP-7 DMSR-7,FLP-9 DMSR-7,,FLP-10 EGL-6,,FLP-4 EGL-6,FLP-5 EGL-6,,FLP-9 EGL-6,,,,,,,,,FLP-10 FRPR-8,,,,,FLP-16 FRPR-8,,FLP-25 FRPR-8,,FLP-4 FRPR-8,,FLP-9 FRPR-8,,NLP-47 GNRR-1,,,,,,,,,FLP-34 NPR-11,,,FLP-15 NPR-3,,,,,,,,,,,,,,,,,NLP-37 PDFR-1,,,,,NLP-58 TKR-2,
PHAR,,,,FLP-10 DMSR-1,,,,FLP-16 DMSR-1,,FLP-25 DMSR-1,,,FLP-4 DMSR-1,FLP-9 DMSR-1,,,,,,,,FLP-16 DMSR-7,,,FLP-4 DMSR-7,FLP-5 DMSR-7,FLP-7 DMSR-7,FLP-9 DMSR-7,,FLP-10 EGL-6,,FLP-4 EGL-6,FLP-5 EGL-6,,FLP-9 EGL-6,,,,,,,,,FLP-10 FRPR-8,,,,,FLP-16 FRPR-8,,FLP-25 FRPR-8,,FLP-4 FRPR-8,,FLP-9 FRPR-8,,NLP-47 GNRR-1,,,,,,,,,FLP-34 NPR-11,,,FLP-15 NPR-3,,,,,,,,,,,,,,,,,NLP-37 PDFR-1,,,,,NLP-58 TKR-2,
PHBL,,,,,,,,FLP-16 DMSR-1,,FLP-25 DMSR-1,,,FLP-4 DMSR-1,FLP-9 DMSR-1,,,,,,,,FLP-16 DMSR-7,,,FLP-4 DMSR-7,FLP-5 DMSR-7,FLP-7 DMSR-7,FLP-9 DMSR-7,,,,FLP-4 EGL-6,FLP-5 EGL-6,,FLP-9 EGL-6,,,,,,FLP-20 FRPR-3,,,,,,,,FLP-16 FRPR-8,,FLP-25 FRPR-8,,FLP-4 FRPR-8,,FLP-9 FRPR-8,,,,,NLP-22 GNRR-6,,,,,,,,,,,,,,,,,,,,,,,,,,NLP-37 PDFR-1,,,,,,
PHBR,,,,,,,,FLP-16 DMSR-1,,FLP-25 DMSR-1,,,FLP-4 DMSR-1,FLP-9 DMSR-1,,,,,,,,FLP-16 DMSR-7,,,FLP-4 DMSR-7,FLP-5 DMSR-7,FLP-7 DMSR-7,FLP-9 DMSR-7,,,,FLP-4 EGL-6,FLP-5 EGL-6,,FLP-9 EGL-6,,,,,,FLP-20 FRPR-3,,,,,,,,FLP-16 FRPR-8,,FLP-25 FRPR-8,,FLP-4 FRPR-8,,FLP-9 FRPR-8,,,,,NLP-22 GNRR-6,,,,,,,,,,,,,,,,,,,,,,,,,,NLP-37 PDFR-1,,,,,,
PHCL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FLP-1 FRPR-7,,,,,,,,,FLP-32 FRPR-8,,,,,,,,,,NLP-44 NMUR-1,NLP-44 NMUR-2,,,,,,,,,,,,,,,,,,,,,,,NLP-37 PDFR-1,,,,NLP-58 TKR-1,NLP-58 TKR-2,
PHCR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FLP-1 FRPR-7,,,,,,,,,FLP-32 FRPR-8,,,,,,,,,,NLP-44 NMUR-1,NLP-44 NMUR-2,,,,,,,,,,,,,,,,,,,,,,,NLP-37 PDFR-1,,,,NLP-58 TKR-1,NLP-58 TKR-2,
SDQL,,,,,,FLP-12 DMSR-1,,,,,,,,FLP-9 DMSR-1,,,,,FLP-1 DMSR-7,FLP-11 DMSR-7,FLP-13 DMSR-7,FLP-16 DMSR-7,FLP-23 DMSR-7,FLP-27 DMSR-7,FLP-4 DMSR-7,FLP-5 DMSR-7,FLP-7 DMSR-7,FLP-9 DMSR-7,FLP-12 DMSR-8,FLP-10 EGL-6,FLP-17 EGL-6,FLP-4 EGL-6,FLP-5 EGL-6,FLP-6 EGL-6,FLP-9 EGL-6,,,FLP-2 FRPR-18,FLP-14 FRPR-19,FLP-8 FRPR-19,,FLP-33 FRPR-6,,,,FLP-12 FRPR-8,,,,,,,,,FLP-9 FRPR-8,,,,,,,NLP-44 NMUR-1,,,FLP-3 NPR-10,,,,,NLP-64 NPR-32,,NLP-10 NPR-35,,,,,FLP-14 NPR-40,FLP-8 NPR-40,,,,,,,,,NLP-49 SEB-3,,,,,
SDQR,,,,,,FLP-12 DMSR-1,,,,,,,,FLP-9 DMSR-1,,,,,FLP-1 DMSR-7,FLP-11 DMSR-7,FLP-13 DMSR-7,FLP-16 DMSR-7,FLP-23 DMSR-7,FLP-27 DMSR-7,FLP-4 DMSR-7,FLP-5 DMSR-7,FLP-7 DMSR-7,FLP-9 DMSR-7,FLP-12 DMSR-8,FLP-10 EGL-6,FLP-17 EGL-6,FLP-4 EGL-6,FLP-5 EGL-6,FLP-6 EGL-6,FLP-9 EGL-6,,,FLP-2 FRPR-18,FLP-14 FRPR-19,FLP-8 FRPR-19,,FLP-33 FRPR-6,,,,FLP-12 FRPR-8,,,,,,,,,FLP-9 FRPR-8,,,,,,,NLP-44 NMUR-1,,,FLP-3 NPR-10,,,,,NLP-64 NPR-32,,NLP-10 NPR-35,,,,,FLP-14 NPR-40,FLP-8 NPR-40,,,,,,,,,NLP-49 SEB-3,,,,,
URBL,,,,FLP-10 DMSR-1,FLP-11 DMSR-1,FLP-12 DMSR-1,FLP-13 DMSR-1,FLP-16 DMSR-1,FLP-17 DMSR-1,FLP-25 DMSR-1,FLP-28 DMSR-1,FLP-33 DMSR-1,FLP-4 DMSR-1,FLP-9 DMSR-1,NLP-13 DMSR-2,,FLP-1 DMSR-5,,FLP-1 DMSR-7,FLP-11 DMSR-7,FLP-13 DMSR-7,FLP-16 DMSR-7,FLP-23 DMSR-7,FLP-27 DMSR-7,FLP-4 DMSR-7,FLP-5 DMSR-7,FLP-7 DMSR-7,FLP-9 DMSR-7,,,,,,,,,FLP-3 FRPR-16,,FLP-14 FRPR-19,FLP-8 FRPR-19,FLP-20 FRPR-3,,,,,,,,FLP-16 FRPR-8,,,,,,,FLP-19 FRPR-9,NLP-47 GNRR-1,,NLP-2 GNRR-6,NLP-22 GNRR-6,NLP-23 GNRR-6,,NLP-44 NMUR-2,,FLP-3 NPR-10,FLP-34 NPR-11,FLP-21 NPR-2,,FLP-15 NPR-3,,,NLP-10 NPR-35,,,,,,,,,NLP-17 NPR-43,,FLP-27 NPR-8,,,,NLP-49 SEB-3,,,NLP-58 TKR-1,,
URBR,,,,FLP-10 DMSR-1,FLP-11 DMSR-1,FLP-12 DMSR-1,FLP-13 DMSR-1,FLP-16 DMSR-1,FLP-17 DMSR-1,FLP-25 DMSR-1,FLP-28 DMSR-1,FLP-33 DMSR-1,FLP-4 DMSR-1,FLP-9 DMSR-1,NLP-13 DMSR-2,,FLP-1 DMSR-5,,FLP-1 DMSR-7,FLP-11 DMSR-7,FLP-13 DMSR-7,FLP-16 DMSR-7,FLP-23 DMSR-7,FLP-27 DMSR-7,FLP-4 DMSR-7,FLP-5 DMSR-7,FLP-7 DMSR-7,FLP-9 DMSR-7,,,,,,,,,FLP-3 FRPR-16,,FLP-14 FRPR-19,FLP-8 FRPR-19,FLP-20 FRPR-3,,,,,,,,FLP-16 FRPR-8,,,,,,,FLP-19 FRPR-9,NLP-47 GNRR-1,,NLP-2 GNRR-6,NLP-22 GNRR-6,NLP-23 GNRR-6,,NLP-44 NMUR-2,,FLP-3 NPR-10,FLP-34 NPR-11,FLP-21 NPR-2,,FLP-15 NPR-3,,,NLP-10 NPR-35,,,,,,,,,NLP-17 NPR-43,,FLP-27 NPR-8,,,,NLP-49 SEB-3,,,NLP-58 TKR-1,,
DVA,,NLP-12 CKR-1,NLP-12 CKR-2,,FLP-11 DMSR-1,,,FLP-16 DMSR-1,,,,,,,NLP-13 DMSR-2,,,FLP-1 DMSR-6,FLP-1 DMSR-7,FLP-11 DMSR-7,FLP-13 DMSR-7,FLP-16 DMSR-7,FLP-23 DMSR-7,FLP-27 DMSR-7,FLP-4 DMSR-7,FLP-5 DMSR-7,FLP-7 DMSR-7,FLP-9 DMSR-7,FLP-12 DMSR-8,FLP-10 EGL-6,FLP-17 EGL-6,FLP-4 EGL-6,FLP-5 EGL-6,FLP-6 EGL-6,FLP-9 EGL-6,,,FLP-2 FRPR-18,,,,,,,FLP-11 FRPR-8,,,,FLP-16 FRPR-8,,,,,,,FLP-19 FRPR-9,,,,,,,NLP-44 NMUR-2,,,,,,FLP-15 NPR-3,,,,,,,FLP-18 NPR-4,,,,,,FLP-18 NPR-5,,,NTC-1 NTR-1,NLP-37 PDFR-1,,,,NLP-58 TKR-1,,
AUAL,,,,,,,,FLP-16 DMSR-1,,,,,,,,,,,,,,FLP-16 DMSR-7,,,,,,,,,,,,FLP-6 EGL-6,,FLP-8 FRPR-15,,,,FLP-8 FRPR-19,,,,,,,,,FLP-16 FRPR-8,,,FLP-32 FRPR-8,,FLP-8 FRPR-8,,FLP-19 FRPR-9,NLP-47 GNRR-1,,,,,,,FLP-21 NPR-1,,,FLP-21 NPR-2,,,,,,,,FLP-8 NPR-39,FLP-18 NPR-4,,FLP-8 NPR-40,,,,,,FLP-8 NTR-1,,NLP-37 PDFR-1,,,,,,
AUAR,,,,,,,,FLP-16 DMSR-1,,,,,,,,,,,,,,FLP-16 DMSR-7,,,,,,,,,,,,FLP-6 EGL-6,,FLP-8 FRPR-15,,,,FLP-8 FRPR-19,,,,,,,,,FLP-16 FRPR-8,,,FLP-32 FRPR-8,,FLP-8 FRPR-8,,FLP-19 FRPR-9,NLP-47 GNRR-1,,,,,,,FLP-21 NPR-1,,,FLP-21 NPR-2,,,,,,,,FLP-8 NPR-39,FLP-18 NPR-4,,FLP-8 NPR-40,,,,,,FLP-8 NTR-1,,NLP-37 PDFR-1,,,,,,
AIAL,,,,,,,,,,,,,,FLP-9 DMSR-1,NLP-13 DMSR-2,,,,,,,,,,,,,FLP-9 DMSR-7,,,,,,,FLP-9 EGL-6,FLP-8 FRPR-15,FLP-3 FRPR-16,FLP-2 FRPR-18,,,,,FLP-1 FRPR-7,,,,,,,,,,,,FLP-9 FRPR-8,FLP-19 FRPR-9,NLP-47 GNRR-1,,,,,NLP-44 NMUR-1,,,,,,,,,,NLP-10 NPR-35,,,,,,,,,,,,,,NLP-37 PDFR-1,,,NLP-38 SPRR-2,,,
AIAR,,,,,,,,,,,,,,FLP-9 DMSR-1,NLP-13 DMSR-2,,,,,,,,,,,,,FLP-9 DMSR-7,,,,,,,FLP-9 EGL-6,FLP-8 FRPR-15,FLP-3 FRPR-16,FLP-2 FRPR-18,,,,,FLP-1 FRPR-7,,,,,,,,,,,,FLP-9 FRPR-8,FLP-19 FRPR-9,NLP-47 GNRR-1,,,,,NLP-44 NMUR-1,,,,,,,,,,NLP-10 NPR-35,,,,,,,,,,,,,,NLP-37 PDFR-1,,,NLP-38 SPRR-2,,,
AIBL,NLP-40 AEX-2,NLP-12 CKR-1,,FLP-10 DMSR-1,FLP-11 DMSR-1,FLP-12 DMSR-1,FLP-13 DMSR-1,FLP-16 DMSR-1,FLP-17 DMSR-1,FLP-25 DMSR-1,FLP-28 DMSR-1,FLP-33 DMSR-1,FLP-4 DMSR-1,FLP-9 DMSR-1,,,,,,,,,,,,,,,FLP-12 DMSR-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FLP-15 NPR-3,NLP-64 NPR-32,SNET-1 NPR-34,NLP-10 NPR-35,,,,,,,,,,,,,,NLP-37 PDFR-1,,NLP-42 SPRR-1,,,,
AIBR,NLP-40 AEX-2,NLP-12 CKR-1,,FLP-10 DMSR-1,FLP-11 DMSR-1,FLP-12 DMSR-1,FLP-13 DMSR-1,FLP-16 DMSR-1,FLP-17 DMSR-1,FLP-25 DMSR-1,FLP-28 DMSR-1,FLP-33 DMSR-1,FLP-4 DMSR-1,FLP-9 DMSR-1,,,,,,,,,,,,,,,FLP-12 DMSR-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FLP-15 NPR-3,NLP-64 NPR-32,SNET-1 NPR-34,NLP-10 NPR-35,,,,,,,,,,,,,,NLP-37 PDFR-1,,NLP-42 SPRR-1,,,,
AIYL,,,,FLP-10 DMSR-1,FLP-11 DMSR-1,FLP-12 DMSR-1,FLP-13 DMSR-1,FLP-16 DMSR-1,FLP-17 DMSR-1,FLP-25 DMSR-1,FLP-28 DMSR-1,FLP-33 DMSR-1,FLP-4 DMSR-1,FLP-9 DMSR-1,,,,,,,,,,,,,,FLP-9 DMSR-7,FLP-12 DMSR-8,,,,,,FLP-9 EGL-6,,,FLP-2 FRPR-18,,,,,,,,,,,,,,,,,FLP-9 FRPR-8,,,,,,,,,FLP-21 NPR-1,,FLP-34 NPR-11,FLP-21 NPR-2,,FLP-15 NPR-3,,,NLP-10 NPR-35,,,,FLP-18 NPR-4,,,,,,FLP-18 NPR-5,,,,NLP-37 PDFR-1,,NLP-42 SPRR-1,NLP-38 SPRR-2,,,
AIYR,,,,FLP-10 DMSR-1,FLP-11 DMSR-1,FLP-12 DMSR-1,FLP-13 DMSR-1,FLP-16 DMSR-1,FLP-17 DMSR-1,FLP-25 DMSR-1,FLP-28 DMSR-1,FLP-33 DMSR-1,FLP-4 DMSR-1,FLP-9 DMSR-1,,,,,,,,,,,,,,FLP-9 DMSR-7,FLP-12 DMSR-8,,,,,,FLP-9 EGL-6,,,FLP-2 FRPR-18,,,,,,,,,,,,,,,,,FLP-9 FRPR-8,,,,,,,,,FLP-21 NPR-1,,FLP-34 NPR-11,FLP-21 NPR-2,,FLP-15 NPR-3,,,NLP-10 NPR-35,,,,FLP-18 NPR-4,,,,,,FLP-18 NPR-5,,,,NLP-37 PDFR-1,,NLP-42 SPRR-1,NLP-38 SPRR-2,,,
AIZL,,,NLP-12 CKR-2,FLP-10 DMSR-1,FLP-11 DMSR-1,FLP-12 DMSR-1,FLP-13 DMSR-1,FLP-16 DMSR-1,FLP-17 DMSR-1,FLP-25 DMSR-1,FLP-28 DMSR-1,FLP-33 DMSR-1,FLP-4 DMSR-1,FLP-9 DMSR-1,NLP-13 DMSR-2,,,,,,,FLP-16 DMSR-7,,,,,FLP-7 DMSR-7,,,,,,,,,FLP-8 FRPR-15,,FLP-2 FRPR-18,,,FLP-20 FRPR-3,,,,,,,,FLP-16 FRPR-8,,,,,,,FLP-19 FRPR-9,NLP-47 GNRR-1,NLP-23 GNRR-3,,,,NLP-44 NMUR-1,,,,,,,FLP-15 NPR-3,,,,,,,FLP-18 NPR-4,,,NLP-13 NPR-41,,,,,,,NLP-37 PDFR-1,NLP-49 SEB-3,,,,,
AIZR,,,NLP-12 CKR-2,FLP-10 DMSR-1,FLP-11 DMSR-1,FLP-12 DMSR-1,FLP-13 DMSR-1,FLP-16 DMSR-1,FLP-17 DMSR-1,FLP-25 DMSR-1,FLP-28 DMSR-1,FLP-33 DMSR-1,FLP-4 DMSR-1,FLP-9 DMSR-1,NLP-13 DMSR-2,,,,,,,FLP-16 DMSR-7,,,,,FLP-7 DMSR-7,,,,,,,,,FLP-8 FRPR-15,,FLP-2 FRPR-18,,,FLP-20 FRPR-3,,,,,,,,FLP-16 FRPR-8,,,,,,,FLP-19 FRPR-9,NLP-47 GNRR-1,NLP-23 GNRR-3,,,,NLP-44 NMUR-1,,,,,,,FLP-15 NPR-3,,,,,,,FLP-18 NPR-4,,,NLP-13 NPR-41,,,,,,,NLP-37 PDFR-1,NLP-49 SEB-3,,,,,
ADAL,NLP-40 AEX-2,,NLP-12 CKR-2,,,,,FLP-16 DMSR-1,,FLP-25 DMSR-1,,,,,NLP-13 DMSR-2,,,,,,,FLP-16 DMSR-7,,,,FLP-5 DMSR-7,FLP-7 DMSR-7,,,,,,FLP-5 EGL-6,,,,,FLP-2 FRPR-18,,,FLP-20 FRPR-3,,FLP-1 FRPR-7,,,,,,FLP-16 FRPR-8,,FLP-25 FRPR-8,,,,,,,,,,,,,,,FLP-34 NPR-11,,,FLP-15 NPR-3,,SNET-1 NPR-34,,,,,FLP-18 NPR-4,,,NLP-13 NPR-41,NLP-3 NPR-42,NLP-17 NPR-43,,,,,NLP-37 PDFR-1,,NLP-42 SPRR-1,,,,
ADAR,NLP-40 AEX-2,,NLP-12 CKR-2,,,,,FLP-16 DMSR-1,,FLP-25 DMSR-1,,,,,NLP-13 DMSR-2,,,,,,,FLP-16 DMSR-7,,,,FLP-5 DMSR-7,FLP-7 DMSR-7,,,,,,FLP-5 EGL-6,,,,,FLP-2 FRPR-18,,,FLP-20 FRPR-3,,FLP-1 FRPR-7,,,,,,FLP-16 FRPR-8,,FLP-25 FRPR-8,,,,,,,,,,,,,,,FLP-34 NPR-11,,,FLP-15 NPR-3,,SNET-1 NPR-34,,,,,FLP-18 NPR-4,,,NLP-13 NPR-41,NLP-3 NPR-42,NLP-17 NPR-43,,,,,NLP-37 PDFR-1,,NLP-42 SPRR-1,,,,
AIML,,,,FLP-10 DMSR-1,FLP-11 DMSR-1,FLP-12 DMSR-1,FLP-13 DMSR-1,FLP-16 DMSR-1,FLP-17 DMSR-1,FLP-25 DMSR-1,FLP-28 DMSR-1,FLP-33 DMSR-1,FLP-4 DMSR-1,FLP-9 DMSR-1,NLP-13 DMSR-2,,,,,,,,,FLP-27 DMSR-7,,FLP-5 DMSR-7,,FLP-9 DMSR-7,,FLP-10 EGL-6,FLP-17 EGL-6,FLP-4 EGL-6,FLP-5 EGL-6,FLP-6 EGL-6,FLP-9 EGL-6,FLP-8 FRPR-15,,,,,,,,,,,,,,,,,,,FLP-9 FRPR-8,,NLP-47 GNRR-1,,,,,NLP-44 NMUR-1,,,,,FLP-21 NPR-2,,,,SNET-1 NPR-34,NLP-10 NPR-35,NLP-17 NPR-37,,,FLP-18 NPR-4,,,,,,,FLP-27 NPR-8,,,NLP-37 PDFR-1,NLP-49 SEB-3,,,,,
AIMR,,,,FLP-10 DMSR-1,FLP-11 DMSR-1,FLP-12 DMSR-1,FLP-13 DMSR-1,FLP-16 DMSR-1,FLP-17 DMSR-1,FLP-25 DMSR-1,FLP-28 DMSR-1,FLP-33 DMSR-1,FLP-4 DMSR-1,FLP-9 DMSR-1,NLP-13 DMSR-2,,,,,,,,,FLP-27 DMSR-7,,FLP-5 DMSR-7,,FLP-9 DMSR-7,,FLP-10 EGL-6,FLP-17 EGL-6,FLP-4 EGL-6,FLP-5 EGL-6,FLP-6 EGL-6,FLP-9 EGL-6,FLP-8 FRPR-15,,,,,,,,,,,,,,,,,,,FLP-9 FRPR-8,,NLP-47 GNRR-1,,,,,NLP-44 NMUR-1,,,,,FLP-21 NPR-2,,,,SNET-1 NPR-34,NLP-10 NPR-35,NLP-17 NPR-37,,,FLP-18 NPR-4,,,,,,,FLP-27 NPR-8,,,NLP-37 PDFR-1,NLP-49 SEB-3,,,,,
AINL,,,,,,,,,,,,,,,,FLP-14 DMSR-3,,,,,,,,,,,,,,,,,,,,,FLP-3 FRPR-16,,,,FLP-20 FRPR-3,FLP-33 FRPR-6,,,,,,,,,,FLP-32 FRPR-8,,,,FLP-19 FRPR-9,NLP-47 GNRR-1,,,,,,,,,FLP-34 NPR-11,FLP-21 NPR-2,,FLP-15 NPR-3,NLP-64 NPR-32,,,,,,FLP-18 NPR-4,,,,,,,,,,,NLP-49 SEB-3,NLP-42 SPRR-1,,NLP-58 TKR-1,,
AINR,,,,,,,,,,,,,,,,FLP-14 DMSR-3,,,,,,,,,,,,,,,,,,,,,FLP-3 FRPR-16,,,,FLP-20 FRPR-3,FLP-33 FRPR-6,,,,,,,,,,FLP-32 FRPR-8,,,,FLP-19 FRPR-9,NLP-47 GNRR-1,,,,,,,,,FLP-34 NPR-11,FLP-21 NPR-2,,FLP-15 NPR-3,NLP-64 NPR-32,,,,,,FLP-18 NPR-4,,,,,,,,,,,NLP-49 SEB-3,NLP-42 SPRR-1,,NLP-58 TKR-1,,
ALA,,,,,,,FLP-13 DMSR-1,FLP-16 DMSR-1,,,,,,FLP-9 DMSR-1,NLP-13 DMSR-2,FLP-14 DMSR-3,FLP-1 DMSR-5,,FLP-1 DMSR-7,FLP-11 DMSR-7,FLP-13 DMSR-7,FLP-16 DMSR-7,FLP-23 DMSR-7,FLP-27 DMSR-7,FLP-4 DMSR-7,FLP-5 DMSR-7,FLP-7 DMSR-7,FLP-9 DMSR-7,,,,,FLP-5 EGL-6,,FLP-9 EGL-6,,,,,,,,,,,,FLP-13 FRPR-8,,FLP-16 FRPR-8,,,FLP-32 FRPR-8,,,FLP-9 FRPR-8,,,,NLP-2 GNRR-6,NLP-22 GNRR-6,NLP-23 GNRR-6,NLP-44 NMUR-1,,,FLP-3 NPR-10,,,,,,,,,FLP-14 NPR-39,FLP-8 NPR-39,FLP-18 NPR-4,,,,,,FLP-18 NPR-5,FLP-27 NPR-8,,,NLP-37 PDFR-1,,NLP-42 SPRR-1,,NLP-58 TKR-1,NLP-58 TKR-2,
BDUL,,,,FLP-10 DMSR-1,FLP-11 DMSR-1,FLP-12 DMSR-1,FLP-13 DMSR-1,FLP-16 DMSR-1,FLP-17 DMSR-1,FLP-25 DMSR-1,FLP-28 DMSR-1,FLP-33 DMSR-1,FLP-4 DMSR-1,FLP-9 DMSR-1,,,,,,,,,,FLP-27 DMSR-7,FLP-4 DMSR-7,FLP-5 DMSR-7,,FLP-9 DMSR-7,FLP-12 DMSR-8,,,FLP-4 EGL-6,FLP-5 EGL-6,,FLP-9 EGL-6,,,,,,FLP-20 FRPR-3,,,,,FLP-12 FRPR-8,,,,,,,FLP-4 FRPR-8,,FLP-9 FRPR-8,FLP-19 FRPR-9,NLP-47 GNRR-1,,,,,NLP-44 NMUR-1,,,,FLP-34 NPR-11,FLP-21 NPR-2,,,,,NLP-10 NPR-35,,,,FLP-18 NPR-4,,,,,,,FLP-27 NPR-8,,,NLP-37 PDFR-1,NLP-49 SEB-3,,,NLP-58 TKR-1,,
BDUR,,,,FLP-10 DMSR-1,FLP-11 DMSR-1,FLP-12 DMSR-1,FLP-13 DMSR-1,FLP-16 DMSR-1,FLP-17 DMSR-1,FLP-25 DMSR-1,FLP-28 DMSR-1,FLP-33 DMSR-1,FLP-4 DMSR-1,FLP-9 DMSR-1,,,,,,,,,,FLP-27 DMSR-7,FLP-4 DMSR-7,FLP-5 DMSR-7,,FLP-9 DMSR-7,FLP-12 DMSR-8,,,FLP-4 EGL-6,FLP-5 EGL-6,,FLP-9 EGL-6,,,,,,FLP-20 FRPR-3,,,,,FLP-12 FRPR-8,,,,,,,FLP-4 FRPR-8,,FLP-9 FRPR-8,FLP-19 FRPR-9,NLP-47 GNRR-1,,,,,NLP-44 NMUR-1,,,,FLP-34 NPR-11,FLP-21 NPR-2,,,,,NLP-10 NPR-35,,,,FLP-18 NPR-4,,,,,,,FLP-27 NPR-8,,,NLP-37 PDFR-1,NLP-49 SEB-3,,,NLP-58 TKR-1,,
CANL,,,,FLP-10 DMSR-1,,FLP-12 DMSR-1,FLP-13 DMSR-1,FLP-16 DMSR-1,,,,,FLP-4 DMSR-1,FLP-9 DMSR-1,,,,,,,,,,,,FLP-5 DMSR-7,,,,,,,,,,,,FLP-2 FRPR-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NLP-72 NPR-22,,NLP-64 NPR-32,,NLP-10 NPR-35,,,,FLP-18 NPR-4,,,,,,,,,,,,,,,NLP-58 TKR-2,
CANR,,,,FLP-10 DMSR-1,,FLP-12 DMSR-1,FLP-13 DMSR-1,FLP-16 DMSR-1,,,,,FLP-4 DMSR-1,FLP-9 DMSR-1,,,,,,,,,,,,FLP-5 DMSR-7,,,,,,,,,,,,FLP-2 FRPR-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NLP-72 NPR-22,,NLP-64 NPR-32,,NLP-10 NPR-35,,,,FLP-18 NPR-4,,,,,,,,,,,,,,,NLP-58 TKR-2,
RIPL,,,NLP-12 CKR-2,,,,,,,,,,,FLP-9 DMSR-1,NLP-13 DMSR-2,,,,,,,,,,,,,FLP-9 DMSR-7,,,,,,,FLP-9 EGL-6,,,,,,,FLP-33 FRPR-6,,,,,,,,,,,,,FLP-9 FRPR-8,,NLP-47 GNRR-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIPR,,,NLP-12 CKR-2,,,,,,,,,,,FLP-9 DMSR-1,NLP-13 DMSR-2,,,,,,,,,,,,,FLP-9 DMSR-7,,,,,,,FLP-9 EGL-6,,,,,,,FLP-33 FRPR-6,,,,,,,,,,,,,FLP-9 FRPR-8,,NLP-47 GNRR-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIAL,,,,,,,,,,,,,,,,,,,FLP-1 DMSR-7,FLP-11 DMSR-7,FLP-13 DMSR-7,FLP-16 DMSR-7,FLP-23 DMSR-7,FLP-27 DMSR-7,FLP-4 DMSR-7,FLP-5 DMSR-7,FLP-7 DMSR-7,FLP-9 DMSR-7,,,,,,,,FLP-8 FRPR-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FLP-18 NPR-4,,,,,,FLP-18 NPR-5,,,,NLP-37 PDFR-1,,,,,,
RIAR,,,,,,,,,,,,,,,,,,,FLP-1 DMSR-7,FLP-11 DMSR-7,FLP-13 DMSR-7,FLP-16 DMSR-7,FLP-23 DMSR-7,FLP-27 DMSR-7,FLP-4 DMSR-7,FLP-5 DMSR-7,FLP-7 DMSR-7,FLP-9 DMSR-7,,,,,,,,FLP-8 FRPR-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FLP-18 NPR-4,,,,,,FLP-18 NPR-5,,,,NLP-37 PDFR-1,,,,,,
RIBL,,,NLP-12 CKR-2,,,,,,,,,,,FLP-9 DMSR-1,NLP-13 DMSR-2,,,,FLP-1 DMSR-7,FLP-11 DMSR-7,FLP-13 DMSR-7,FLP-16 DMSR-7,FLP-23 DMSR-7,FLP-27 DMSR-7,FLP-4 DMSR-7,FLP-5 DMSR-7,FLP-7 DMSR-7,FLP-9 DMSR-7,FLP-12 DMSR-8,,,,,,FLP-9 EGL-6,,FLP-3 FRPR-16,FLP-2 FRPR-18,,,,,,,,,,,,,,,,,FLP-9 FRPR-8,,,,,,,,,,,,,,,,SNET-1 NPR-34,,,,,,FLP-14 NPR-40,FLP-8 NPR-40,NLP-13 NPR-41,,,,,,,NLP-37 PDFR-1,,,,,,
